RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
700888,2015179163,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/30/2015,05/27/2015,05/27/2015,11XX BLOCK OF NE 47 ST,U,U2,5301.2004,-122.315811157,47.663108826,"(47.663108826, -122.315811157)"
701898,2015173941,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/26/2015,05/26/2015,05/26/2015,36XX BLOCK OF DAYTON AV N,B,B2,4900.3011,-122.352355957,47.652954102,"(47.652954102, -122.352355957)"
700915,2015178934,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/30/2015,05/30/2015,05/30/2015,14XX BLOCK OF 12 AV,E,E2,7500.4008,-122.31678772,47.613494873,"(47.613494873, -122.31678772)"
701969,2015171532,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/25/2015,05/25/2015,,125XX BLOCK OF AURORA AV N,N,N2,402.2004,-122.344947815,47.720481873,"(47.720481873, -122.344947815)"
701007,2015177216,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/29/2015,,92XX BLOCK OF 21 AV SW,F,F2,11402.2014,-122.360519409,47.520111084,"(47.520111084, -122.360519409)"
701019,2015177563,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/26/2015,05/28/2015,9XX BLOCK OF NW 45 ST,B,B2,4700.2075,-122.369689941,47.661468506,"(47.661468506, -122.369689941)"
701020,2015177645,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/29/2015,05/29/2015,22XX BLOCK OF 14 AV W,Q,Q2,5802.2018,-122.375007629,47.639659882,"(47.639659882, -122.375007629)"
701042,2015177652,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/29/2015,,86XX BLOCK OF 14 AV S,F,F3,11200.3008,-122.314918518,47.526016235,"(47.526016235, -122.314918518)"
701043,2015177674,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/29/2015,05/29/2015,17XX BLOCK OF BROADWAY,E,E2,8400.1000,-122.320823669,47.616989136,"(47.616989136, -122.320823669)"
701045,2015903585,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/28/2015,05/29/2015,110XX BLOCK OF 34 AV NE,L,L3,1000.1002,-122.29208374,47.709281921,"(47.709281921, -122.29208374)"
701048,2015178311,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/29/2015,05/29/2015,E PINE ST / SUMMIT AV,E,E1,8400.1004,-122.325531006,47.615219116,"(47.615219116, -122.325531006)"
701049,2015903589,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/24/2015,05/25/2015,33XX BLOCK OF 3 AV W,Q,Q2,5900.3000,-122.360877991,47.649982452,"(47.649982452, -122.360877991)"
702049,2015172174,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/25/2015,05/25/2015,,PHINNEY AV N / N 62 ST,B,B2,3500.2014,-122.354370117,47.673862457,"(47.673862457, -122.354370117)"
701151,2015180544,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/31/2015,05/29/2015,05/30/2015,52XX BLOCK OF S MYRTLE ST,R,R3,11102.1015,-122.266456604,47.538894653,"(47.538894653, -122.266456604)"
